birth,death,dim
0.000000000000000000e+00,4.677895456552505493e-02,0.000000000000000000e+00
0.000000000000000000e+00,1.050790846347808838e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.184458434581756592e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.309056580066680908e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.522300243377685547e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.569344252347946167e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.641386300325393677e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.687655448913574219e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.788415908813476562e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.813023090362548828e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.991096735000610352e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.087513804435729980e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.139110565185546875e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.189399600028991699e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.190027683973312378e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.220932990312576294e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.262694984674453735e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.302319258451461792e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.466170340776443481e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.600434422492980957e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.601594924926757812e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.642953991889953613e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.647095620632171631e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.691096067428588867e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.727614045143127441e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.739662230014801025e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.810809314250946045e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.813543379306793213e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.814338207244873047e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.029381036758422852e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.044779896736145020e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.117651343345642090e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.151296973228454590e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.162220120429992676e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.500143587589263916e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.555409014225006104e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.597263097763061523e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.667062819004058838e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.825830817222595215e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.922523856163024902e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.002759754657745361e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.017857611179351807e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.040955603122711182e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.197746813297271729e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.274120330810546875e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.324062764644622803e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.415787756443023682e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.440419673919677734e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.454044103622436523e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.477746486663818359e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.572988152503967285e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.577083885669708252e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.695346653461456299e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.698830544948577881e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.736347496509552002e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.776892662048339844e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.784532189369201660e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.792445600032806396e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.820367693901062012e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.902358055114746094e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.017578601837158203e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.164394974708557129e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.203138589859008789e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.228384733200073242e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.235342979431152344e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.268507599830627441e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.437698960304260254e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.500767230987548828e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.506342649459838867e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.546061992645263672e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.618805289268493652e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.727634429931640625e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.802778601646423340e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.821211338043212891e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.846922397613525391e-01,0.000000000000000000e+00
